"Carimbo de data/hora","Em que período você se encontra?","Que curso você faz?","Em que campus você estuda?","Você acredita que as vagas ofertadas no RAE foram suficientes?","Com relação às disciplinas que queria cursar, você conseguiu se matricular em:","No geral, você acha o RAE:","Você acredita que o seu desempenho no RAE, em comparação com o presencial:","Na sua opinião, a qualidade do ensino no RAE, em comparação com o presencial, é:","Você acredita que o RAE afetou sua saúde mental para:","No que diz respeito a dificuldades técnicas (queda de internet ou energia, indisponibilidade de equipamento etc), você passa por elas:","Na sua opinião, os professores são tolerantes com imprevistos que impossibilitem a realização de atividades?","No geral, você acha que essas dificuldades prejudicam o seu desempenho?","Em geral, você acha que a atuação dos professores no RAE é/está sendo:","Na sua experiência, o atendimento individual dos professores aos alunos está sendo:","Na sua opinião, em comparação com o regime presencial, no RAE os professores estão:","No geral, em comparação com o regime presencial, você acha que o volume de atividades exigidas no RAE é:","Você julga esse volume de atividades abusivo?","Como você avalia a atuação da UFCG diante da pandemia?","Como você avalia o desempenho da coordenação do seu curso no atendimento e suporte aos estudantes no RAE?"
"2020/10/27 2:49:10 PM GMT-3","4","Design","Campina Grande","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Igual","Não","Boa","Bom"
"2020/10/27 2:52:54 PM GMT-3","1","Design","Campina Grande","Não sei/Não quero responder","Nenhuma","Bom","Melhorou","Melhor","Não sei/Não quero responder","Nunca","Não sei/Não quero responder","Não passo por essas dificuldades","Não sei/Não quero responder","Não sei/Não quero responder","Tão exigentes quanto","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Não sei/Não quero responder"
"2020/10/27 2:53:47 PM GMT-3","10","Engenharia Elétrica","Campina Grande","Sim","Todas","Bom","Piorou","Melhor","Pior","Raramente","Sim","Não passo por essas dificuldades","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"2020/10/27 2:54:35 PM GMT-3","2","Design","Campina Grande","Sim","Todas","Bom","Melhorou","Não sei/Não quero responder","Pior","Raramente","Sim","Sim","Razoável","Bom","Tão exigentes quanto","Igual","Não","Boa","Excelente"
"2020/10/27 3:08:41 PM GMT-3","1","Design","Campina Grande","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Maior","Sim","Boa","Excelente"
"2020/10/27 3:13:50 PM GMT-3","1","Design","Campina Grande","Sim","Não sei/Não quero responder","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Sim","Excelente","Não sei/Não quero responder","Menos exigentes","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Excelente"
"2020/10/27 3:14:00 PM GMT-3","2","História","Cajazeiras","Não","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Excelente","Excelente","Menos exigentes","Igual","Não","Boa","Excelente"
"2020/10/27 3:14:21 PM GMT-3","1","Arte e Mídia","Campina Grande","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"2020/10/27 3:38:49 PM GMT-3","10","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Todas","Bom","Melhorou","Igual","Pior","Raramente","Não","Não passo por essas dificuldades","Razoável","Bom","Tão exigentes quanto","Maior","Não","Péssima","Excelente"
"2020/10/27 3:40:16 PM GMT-3","1","Arte e Mídia","Campina Grande","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"2020/10/27 3:46:20 PM GMT-3","6","Arte e Mídia","Campina Grande","Não","Algumas","Razoável","Piorou","Igual","Pior","Raramente","Sim","Sim","Excelente","Não sei/Não quero responder","Menos exigentes","Maior","Não","Ruim","Bom"
"2020/10/27 3:48:05 PM GMT-3","2","História","Cajazeiras","Não","Algumas","Bom","Melhorou","Pior","Melhor","Frequentemente","Sim","Sim","Excelente","Bom","Menos exigentes","Menor","Não","Excelente","Excelente"
"2020/10/27 3:54:39 PM GMT-3","8","Arte e Mídia","Campina Grande","Sim","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Boa","Bom","Menos exigentes","Igual","Sim","Regular","Excelente"
"2020/10/27 4:37:06 PM GMT-3","7","Arte e Mídia","Campina Grande","Não","Nenhuma","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Não sei/Não quero responder"
"2020/10/27 4:43:54 PM GMT-3","6","Engenharia Elétrica","Campina Grande","Não","Algumas","Excelente","Melhorou","Melhor","Não afetou","Frequentemente","Não sei/Não quero responder","Nao","Boa","Razoável","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"2020/10/27 4:45:57 PM GMT-3","2","Design","Campina Grande","Sim","Todas","Ruim","Piorou","Pior","Não afetou","Raramente","Não","Sim","Boa","Razoável","Tão exigentes quanto","Menor","Não","Boa","Excelente"
"2020/10/27 5:05:47 PM GMT-3","1","História","Cajazeiras","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"2020/10/27 5:11:07 PM GMT-3","6","Design","Campina Grande","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Piorou","Igual","Não afetou","Raramente","Sim","Nao","Excelente","Excelente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"2020/10/27 5:17:33 PM GMT-3","3","História","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Bom","Tão exigentes quanto","Maior","Não","Boa","Excelente"
"2020/10/27 5:25:22 PM GMT-3","6","História","Cajazeiras","Sim","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Excelente","Razoável","Tão exigentes quanto","Igual","Não","Regular","Bom"
"2020/10/27 5:31:29 PM GMT-3","10","História","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Nunca","Sim","Não sei/Não quero responder","Boa","Excelente","Tão exigentes quanto","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Bom"
"2020/10/27 5:39:44 PM GMT-3","2","Arquitetura e Urbanismo","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Nunca","Sim","Não passo por essas dificuldades","Razoável","Bom","Menos exigentes","Menor","Não","Ruim","Ruim"
"2020/10/27 5:48:20 PM GMT-3","4","Arte e Mídia","Campina Grande","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Nunca","Sim","Nao","Boa","Bom","Tão exigentes quanto","Igual","Não","Regular","Bom"
"2020/10/27 6:22:08 PM GMT-3","8","Engenharia Elétrica","Campina Grande","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Regular","Excelente"
"2020/10/27 6:23:31 PM GMT-3","2","Arte e Mídia","Campina Grande","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Muito menor","Não","Regular","Regular"
"2020/10/27 6:31:33 PM GMT-3","3","Arte e Mídia","Campina Grande","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Razoável","Não sei/Não quero responder","Tão exigentes quanto","Igual","Não","Regular","Não sei/Não quero responder"
"2020/10/27 6:47:20 PM GMT-3","10","Estatística","Campina Grande","Não sei/Não quero responder","Todas","Razoável","Não mudou","Igual","Não sei/Não quero responder","Nunca","Sim","Não passo por essas dificuldades","Boa","Não sei/Não quero responder","Não sei/Não quero responder","Maior","Não","Regular","Excelente"
"2020/10/27 6:47:51 PM GMT-3","2","Arte e Mídia","Campina Grande","Sim","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não sei/Não quero responder","Boa","Bom"
"2020/10/27 7:00:58 PM GMT-3","2","História","Cajazeiras","Não","Todas","Razoável","Não mudou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não","Regular","Excelente"
"2020/10/27 7:06:34 PM GMT-3","7","Arte e Mídia","Campina Grande","Sim","Todas","Excelente","Não mudou","Melhor","Não afetou","Não sei/Não quero responder","Sim","Sim","Excelente","Excelente","Mais exigentes","Muito maior","Não","Regular","Excelente"
"2020/10/27 7:08:21 PM GMT-3","2","Arte e Mídia","Campina Grande","Sim","Todas","Razoável","Não sei/Não quero responder","Igual","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Razoável","Excelente","Menos exigentes","Muito menor","Não","Boa","Bom"
"2020/10/27 7:34:37 PM GMT-3","6","História","Cajazeiras","Não","Algumas","Razoável","Não sei/Não quero responder","Igual","Pior","Frequentemente","Sim","Sim","Boa","Excelente","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Excelente"
"2020/10/27 7:39:19 PM GMT-3","1","História","Cajazeiras","Não","Algumas","Bom","Não mudou","Igual","Melhor","Frequentemente","Sim","Sim","Boa","Não sei/Não quero responder","Menos exigentes","Não sei/Não quero responder","Não","Regular","Bom"
"2020/10/27 8:34:03 PM GMT-3","3","Design","Campina Grande","Não","Algumas","Bom","Não mudou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Boa","Bom"
"2020/10/27 9:15:04 PM GMT-3","1","Design","Campina Grande","Não sei/Não quero responder","Algumas","Bom","Não mudou","Pior","Não afetou","Raramente","Não","Nao","Razoável","Insuficiente","Tão exigentes quanto","Igual","Não","Boa","Bom"
"2020/10/27 10:46:26 PM GMT-3","4","Arte e Mídia","Campina Grande","Não","Algumas","Bom","Não sei/Não quero responder","Igual","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Boa","Regular"
"2020/10/27 11:08:13 PM GMT-3","1","Estatística","Campina Grande","Sim","Nenhuma","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Maior","Sim","Regular","Não sei/Não quero responder"
"2020/10/27 11:08:55 PM GMT-3","6","História","Cajazeiras","Não sei/Não quero responder","Todas","Bom","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Frequentemente","Sim","Sim","Excelente","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Excelente"
"2020/10/27 11:11:38 PM GMT-3","6","Engenharia Elétrica","Campina Grande","Não","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Não passo por essas dificuldades","Razoável","Insuficiente","Menos exigentes","Muito maior","Sim","Péssima","Excelente"
"2020/10/27 11:37:38 PM GMT-3","2","Arte e Mídia","Campina Grande","Sim","Todas","Bom","Piorou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Excelente","Menos exigentes","Igual","Não","Boa","Bom"
"2020/10/27 11:47:55 PM GMT-3","6","Design","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Maior","Sim","Regular","Regular"
"2020/10/28 12:31:37 AM GMT-3","6","Arte e Mídia","Campina Grande","Sim","Todas","Bom","Piorou","Igual","Não afetou","Nunca","Sim","Sim","Boa","Bom","Menos exigentes","Igual","Não","Regular","Bom"
"2020/10/28 1:01:33 AM GMT-3","1","Engenharia de Materiais","Campina Grande","Não","Algumas","Razoável","Melhorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não","Regular","Excelente"
"2020/10/28 8:12:48 AM GMT-3","1","Estatística","Campina Grande","Não","Todas","Razoável","Não sei/Não quero responder","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Boa","Não sei/Não quero responder","Menos exigentes","Maior","Não","Regular","Excelente"
"2020/10/28 8:30:23 AM GMT-3","1","História","Cajazeiras","Não","Algumas","Não sei/Não quero responder","Piorou","Não sei/Não quero responder","Pior","Raramente","Sim","Sim","Não sei/Não quero responder","Não sei/Não quero responder","Tão exigentes quanto","Maior","Sim","Não sei/Não quero responder","Bom"
"2020/10/28 8:46:47 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Não","Todas","Excelente","Melhorou","Pior","Não afetou","Raramente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"2020/10/28 9:31:07 AM GMT-3","3","Design","Campina Grande","Sim","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Péssima","Bom"
"2020/10/28 9:37:16 AM GMT-3","1","História","Cajazeiras","Sim","Todas","Razoável","Não mudou","Igual","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Bom","Não sei/Não quero responder","Igual","Não","Boa","Bom"
"2020/10/28 9:43:54 AM GMT-3","3","Estatística","Campina Grande","Sim","Todas","Bom","Melhorou","Pior","Não afetou","Nunca","Sim","Não passo por essas dificuldades","Razoável","Razoável","Menos exigentes","Muito menor","Não","Regular","Regular"
"2020/10/28 10:02:03 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Não mudou","Pior","Não sei/Não quero responder","Raramente","Não","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não","Regular","Regular"
"2020/10/28 10:37:49 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Nenhuma","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Péssima","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Ruim"
"2020/10/28 10:45:55 AM GMT-3","2","Design","Campina Grande","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Regular","Excelente"
"2020/10/28 10:50:36 AM GMT-3","10","História","Cajazeiras","Sim","Todas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Nunca","Sim","Nao","Boa","Excelente","Menos exigentes","Igual","Não","Regular","Excelente"
"2020/10/28 10:58:06 AM GMT-3","10","História","Cajazeiras","Não","Algumas","Razoável","Não mudou","Igual","Não afetou","Frequentemente","Sim","Sim","Boa","Excelente","Tão exigentes quanto","Muito menor","Não","Regular","Bom"
"2020/10/28 11:14:51 AM GMT-3","3","Engenharia de Petróleo","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Ruim","Insuficiente","Tão exigentes quanto","Maior","Não","Ruim","Regular"
"2020/10/28 11:15:04 AM GMT-3","5","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Raramente","Não","Sim","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Muito maior","Sim","Regular","Bom"
"2020/10/28 11:15:34 AM GMT-3","7","Engenharia de Petróleo","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Bom","Menos exigentes","Igual","Não","Péssima","Ruim"
"2020/10/28 11:15:35 AM GMT-3","9","História","Cajazeiras","Não","Algumas","Razoável","Não mudou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Não","Péssima","Bom"
"2020/10/28 11:16:18 AM GMT-3","6","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Não sei/Não quero responder","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Bom"
"2020/10/28 11:16:34 AM GMT-3","9","Engenharia de Petróleo","Campina Grande","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Péssima","Regular"
"2020/10/28 11:17:02 AM GMT-3","1","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Bom"
"2020/10/28 11:17:11 AM GMT-3","5","Engenharia de Petróleo","Campina Grande","Não","Todas","Razoável","Não sei/Não quero responder","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"2020/10/28 11:18:17 AM GMT-3","6","Engenharia de Petróleo","Campina Grande","Não","Todas","Razoável","Melhorou","Igual","Pior","Raramente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Maior","Não","Regular","Regular"
"2020/10/28 11:18:28 AM GMT-3","9","Engenharia de Petróleo","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Bom"
"2020/10/28 11:18:55 AM GMT-3","4","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Não mudou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Maior","Sim","Regular","Regular"
"2020/10/28 11:19:02 AM GMT-3","5","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Não mudou","Melhor","Não afetou","Raramente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Maior","Não","Boa","Excelente"
"2020/10/28 11:21:34 AM GMT-3","1","Engenharia de Petróleo","Campina Grande","Não sei/Não quero responder","Algumas","Bom","Melhorou","Melhor","Não afetou","Raramente","Sim","Sim","Boa","Razoável","Mais exigentes","Maior","Sim","Regular","Bom"
"2020/10/28 11:31:15 AM GMT-3","3","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Não sei/Não quero responder","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"2020/10/28 11:32:54 AM GMT-3","7","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Não sei/Não quero responder","Igual","Não afetou","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Maior","Sim","Péssima","Bom"
"2020/10/28 11:34:04 AM GMT-3","1","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Nunca","Sim","Não passo por essas dificuldades","Razoável","Razoável","Menos exigentes","Igual","Não","Ruim","Bom"
"2020/10/28 11:35:57 AM GMT-3","1","Engenharia de Petróleo","Campina Grande","Não","Algumas","Bom","Não mudou","Pior","Não afetou","Raramente","Sim","Nao","Razoável","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não","Regular","Bom"
"2020/10/28 11:36:25 AM GMT-3","3","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Raramente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Regular"
"2020/10/28 11:54:54 AM GMT-3","7","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Melhorou","Igual","Pior","Frequentemente","Não","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"2020/10/28 12:05:35 PM GMT-3","1","Estatística","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Ruim","Excelente"
"2020/10/28 12:27:38 PM GMT-3","8","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Não mudou","Pior","Pior","Nunca","Não","Sim","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Maior","Não","Regular","Excelente"
"2020/10/28 12:38:05 PM GMT-3","9","Engenharia de Petróleo","Campina Grande","Sim","Todas","Ruim","Piorou","Igual","Pior","Frequentemente","Sim","Sim","Excelente","Bom","Tão exigentes quanto","Maior","Sim","Ruim","Excelente"
"2020/10/28 12:45:37 PM GMT-3","3","Engenharia Elétrica","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"2020/10/28 12:46:36 PM GMT-3","5","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"2020/10/28 12:47:54 PM GMT-3","1","Engenharia de Petróleo","Campina Grande","Não","Nenhuma","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Raramente","Não sei/Não quero responder","Sim","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Não sei/Não quero responder"
"2020/10/28 1:31:38 PM GMT-3","1","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Razoável","Não sei/Não quero responder","Igual","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"2020/10/28 1:58:30 PM GMT-3","8","Engenharia de Petróleo","Campina Grande","Não","Nenhuma","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Raramente","Não","Não sei/Não quero responder","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"2020/10/28 1:59:55 PM GMT-3","3","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Não mudou","Igual","Não afetou","Raramente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"2020/10/28 2:29:37 PM GMT-3","2","Arte e Mídia","Campina Grande","Não","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Razoável","Razoável","Menos exigentes","Maior","Sim","Regular","Regular"
"2020/10/28 3:05:11 PM GMT-3","3","Engenharia de Petróleo","Campina Grande","Não","Nenhuma","Ruim","Piorou","Pior","Não afetou","Frequentemente","Não","Sim","Razoável","Razoável","Tão exigentes quanto","Igual","Não sei/Não quero responder","Regular","Excelente"
"2020/10/28 3:23:38 PM GMT-3","1","Engenharia de Petróleo","Campina Grande","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Frequentemente","Não","Sim","Boa","Razoável","Menos exigentes","Igual","Não","Regular","Regular"
"2020/10/28 3:58:59 PM GMT-3","1","Estatística","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Não sei/Não quero responder","Muito maior","Sim","Ruim","Regular"
"2020/10/28 4:09:53 PM GMT-3","7","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Não mudou","Igual","Pior","Raramente","Sim","Sim","Excelente","Bom","Menos exigentes","Igual","Não sei/Não quero responder","Regular","Excelente"
"2020/10/28 4:48:33 PM GMT-3","7","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Algumas","Bom","Não mudou","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Maior","Não","Boa","Bom"
"2020/10/28 6:04:39 PM GMT-3","8","Engenharia de Petróleo","Campina Grande","Sim","Todas","Excelente","Melhorou","Igual","Não afetou","Raramente","Sim","Nao","Excelente","Excelente","Tão exigentes quanto","Igual","Não","Regular","Bom"
"2020/10/28 6:24:11 PM GMT-3","2","Arte e Mídia","Campina Grande","Sim","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Raramente","Sim","Nao","Razoável","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não","Ruim","Bom"
"2020/10/28 7:17:42 PM GMT-3","7","Engenharia de Petróleo","Campina Grande","Não","Algumas","Razoável","Não mudou","Pior","Pior","Raramente","Não","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"2020/10/28 7:23:55 PM GMT-3","3","História","Cajazeiras","Sim","Todas","Ruim","Não mudou","Pior","Não afetou","Frequentemente","Sim","Nao","Excelente","Bom","Menos exigentes","Menor","Não","Regular","Excelente"
"2020/10/28 9:50:03 PM GMT-3","10","História","Cajazeiras","Não","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Não passo por essas dificuldades","Boa","Razoável","Mais exigentes","Muito maior","Sim","Regular","Regular"
"2020/10/28 11:25:06 PM GMT-3","8","Engenharia de Petróleo","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"2020/10/29 6:28:28 AM GMT-3","1","Engenharia de Petróleo","Campina Grande","Não","Algumas","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Frequentemente","Sim","Nao","Razoável","Não sei/Não quero responder","Mais exigentes","Maior","Não","Regular","Regular"
"2020/10/29 8:29:12 AM GMT-3","9","Engenharia de Petróleo","Campina Grande","Sim","Todas","Ruim","Não mudou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"2020/10/29 8:34:43 AM GMT-3","1","Estatística","Campina Grande","Não","Algumas","Bom","Melhorou","Melhor","Melhor","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Razoável","Tão exigentes quanto","Igual","Não sei/Não quero responder","Excelente","Excelente"
"2020/10/29 9:15:40 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Melhorou","Igual","Não sei/Não quero responder","Raramente","Sim","Sim","Boa","Não sei/Não quero responder","Mais exigentes","Muito maior","Não","Péssima","Regular"
"2020/10/29 9:33:29 AM GMT-3","9","Engenharia de Petróleo","Campina Grande","Não","Todas","Razoável","Melhorou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Ruim","Razoável","Menos exigentes","Muito maior","Sim","Péssima","Bom"
"2020/10/29 9:39:25 AM GMT-3","7","Engenharia de Petróleo","Campina Grande","Não sei/Não quero responder","Algumas","Razoável","Piorou","Pior","Pior","Nunca","Não","Não passo por essas dificuldades","Ruim","Razoável","Mais exigentes","Maior","Não sei/Não quero responder","Regular","Bom"
"2020/10/29 10:20:06 AM GMT-3","3","História","Cajazeiras","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Regular","Regular"
"2020/10/29 12:10:48 PM GMT-3","6","Engenharia Elétrica","Campina Grande","Sim","Todas","Ruim","Não sei/Não quero responder","Pior","Pior","Raramente","Sim","Sim","Não sei/Não quero responder","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Excelente"
"2020/10/29 2:02:45 PM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Nenhuma","Ruim","Não sei/Não quero responder","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Não sei/Não quero responder","Mais exigentes","Maior","Sim","Não sei/Não quero responder","Não sei/Não quero responder"
